filepath,transcription_clean,prediction
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p2m0.wav,novel,i not fol
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p0o0.wav,circumstance, seek coms tan
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p5j0.wav,will you sing this song,then seem it is son
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p1n0.wav,herbalist,e lon ecs
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p3x0.wav,we've had a wonderful night,he had delendy for tin et is
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb0p/ksb0p6m0.wav,the stove melted the butter,this stole nortid the butteep
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0336j0.wav,we gathered sticks for the fire,he canter spic or the fire
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033040.wav,aspire,m
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033400.wav,greet me with open arms,et e wet open mie
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0331s0.wav,humor,e won
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033220.wav,lifeboats,lenth
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0330t0.wav,cowboys,hel 
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033130.wav,earthquake,a qlek
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033310.wav,obvious,con being
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0336n0.wav,i'm sorry the dog ate your dinner,si an dogk aget diner
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0333y0.wav,you didn't arrive too late,intleed a lint to lit
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0336l0.wav,my sleeve caught the thorny bush,slened ponti sorny pois
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0332h0.wav,mutual,ea so
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0330j0.wav,cautiously,wi she s sle
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0331i0.wav,growl,wel
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0330y0.wav,depths,te
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033180.wav,engrave,te
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033090.wav,bathe,they
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0331x0.wav,jurors,ters
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033270.wav,mature,wa tol
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0336o0.wav,someone bought a beautiful ring for you,some one fased up ti pon e peo
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033500.wav,the flood took a car down the street,uh a o don't know ket
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0331d0.wav,female,femal
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0330e0.wav,birthmark,bet marte
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0332c0.wav,misjudged,miss judch
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks033760.wav,spoons,h
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0333z0.wav,five people can fit in the elevator,people teits on ater
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0336m0.wav,the stove melted the butter,i stolled  ut it te bonner
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0333x0.wav,we've had a wonderful night,we had en wat entolle
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0331n0.wav,herbalist,an 
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0332m0.wav,novel,
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ks033/ks0330o0.wav,circumstance,sirton isto
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w2h0.wav,mutual,es tul
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w0j0.wav,cautiously,ca isly
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w1i0.wav,growl,well
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6l0.wav,my sleeve caught the thorny bush, cato terforee
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w3y0.wav,you didn't arrive too late,leping he dare arive to light
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w0t0.wav,cowboys,cably
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w130.wav,earthquake,eight queet
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w310.wav,obvious,ol teous
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6n0.wav,i'm sorry the dog ate your dinner, im sorry tha goge edin
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w220.wav,lifeboats,like spoke
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w1s0.wav,humor,humor
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w400.wav,greet me with open arms,reet es open ons
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w040.wav,aspire, treen
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6j0.wav,we gathered sticks for the fire,we gather sticks for a lire
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w3x0.wav,we've had a wonderful night,yeah wonderful night
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w3h0.wav,push,tey
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6m0.wav,the stove melted the butter,thi still nolted the butter
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w1n0.wav,herbalist,epelase
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w5j0.wav,will you sing this song,the ges wol eu see the son
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w2m0.wav,novel,novel
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w0o0.wav,circumstance,he cane sertain stance
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w760.wav,spoons,
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w3z0.wav,five people can fit in the elevator,my people can tay ane ol tater
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w1d0.wav,female,femal
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w0e0.wav,birthmark,birtmar
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w2c0.wav,misjudged,it se canage
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6o0.wav,someone bought a beautiful ring for you,somebad some bidy fogt ou beautiful leag feyou
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w6k0.wav,santa deemed rudolph the leader,he be tho of othe ner
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w090.wav,bathe,bhe
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w270.wav,mature,me kear
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w1x0.wav,jurors,drrs
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w0y0.wav,depths,thats
/srv/scratch/chacmod/OGI/speech/scripted/00/8/ksb3w/ksb3w180.wav,engrave,in grave
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a300.wav,obstacle,apte to co
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a3h0.wav,push,but tresh
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5r0.wav,her veins pop out when she is mad,in tens pan out whih is mear
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a610.wav,he was really nice to us,he wen he emens torence
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5z0.wav,don't leave so soon,don't meave so soon
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5j0.wav,will you sing this song,ol ese readsom
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a760.wav,spoons,tonn 
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5h0.wav,she'll be ready very soon,shel be hady e
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a630.wav,that was an odd decision,at was at lit shesen
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a2g0.wav,musician,noye she
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a1h0.wav,fragment,shre me
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a1c0.wav,fancy,se anse
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a0d0.wav,biology,poran i t
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a2b0.wav,midnight,made
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5w0.wav,when will we go on vacation,on kno he on e seshe
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a170.wav,endure,eterac
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a0x0.wav,dashboard,thes oly
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a1w0.wav,join,joy
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a260.wav,lure,
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a620.wav,eating blueberries gives you blue hands,e es tav tro es
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a600.wav,because my leg is sore i can't play,te saner is so a ca't rit
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a5y0.wav,he breathed a sigh of relief,he e san tha e
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a1m0.wav,hawthorne,lotin
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a2l0.wav,nothing, 
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a0n0.wav,childhood,m
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0a/ksb0a640.wav,sir have you seen my coat,se had lusee make hom
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w5j0.wav,will you sing this song,what es seeined i song
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w5z0.wav,don't leave so soon,den'tle youse s frsue
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w610.wav,he was really nice to us,he res really is to a h
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w210.wav,lethargic,bit thege
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w1r0.wav,hourly,elon bert 
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w120.wav,disrupt,this throw
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w300.wav,obstacle,ab said te
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w2g0.wav,musician,newsis
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w0i0.wav,cashflow,kep le
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w500.wav,the flood took a car down the street,in lay kik dead car down the street
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w760.wav,spoons,bemt
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w5h0.wav,she'll be ready very soon,shel be readin vear
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w0x0.wav,dashboard,thes bord
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w170.wav,endure,in gor
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w080.wav,background,bag ground
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w260.wav,lure,e fos
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w1w0.wav,join,doin
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w620.wav,eating blueberries gives you blue hands,abing blowbarries giv sou litle hun
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w1c0.wav,fancy,fety
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w2b0.wav,midnight,iny 
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w640.wav,sir have you seen my coat,tres my top
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w600.wav,because my leg is sore i can't play,has my way yes e wi can't plan
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w1m0.wav,hawthorne,heft di
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w2l0.wav,nothing,m
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00w/ks00w0n0.wav,childhood,telld hod
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x0i0.wav,cashflow,ceshed woll
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x2g0.wav,musician,e did chant
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x760.wav,spoons,scool
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x500.wav,the flood took a car down the street,let take a caled illi che
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x3h0.wav,push,
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x300.wav,obstacle,at's stic gole
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x030.wav,archrival,ol train
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x5z0.wav,don't leave so soon,men so
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x5j0.wav,will you sing this song,ateen fit on
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x5y0.wav,he breathed a sigh of relief,please  sa will
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x0n0.wav,childhood,chal wot
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x2b0.wav,midnight,len night
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x0d0.wav,biology,they are age
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb3x/ksb3x080.wav,background,i rom
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5h0.wav,she'll be ready very soon,may pedys si
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g760.wav,spoons,n
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g500.wav,the flood took a car down the street, cas sag took a car down tist tree
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g630.wav,that was an odd decision,cal dep i je saide
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g0i0.wav,cashflow,cech flo
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g1h0.wav,fragment, had me
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5j0.wav,will you sing this song,e
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5z0.wav,don't leave so soon,don't leave sinaston
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5r0.wav,her veins pop out when she is mad,ar tings pop out winchewas emad
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g610.wav,he was really nice to us,he is very make tos
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g1r0.wav,hourly,amy
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g210.wav,lethargic,tat a 
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g300.wav,obstacle,up e
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g120.wav,disrupt,ges ren
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g0s0.wav,cooperate,trater
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g3h0.wav,push,tes
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g2l0.wav,nothing,yes sin
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g0n0.wav,childhood,caanty
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g1m0.wav,hawthorne,assor
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5y0.wav,he breathed a sigh of relief,an fees bu kep
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g600.wav,because my leg is sore i can't play,e cave mer rages i can't play
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g640.wav,sir have you seen my coat,ser he see ma colp
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g0x0.wav,dashboard,oish par we
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g170.wav,endure, sun
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g620.wav,eating blueberries gives you blue hands,mhmin girves eiten lor hands
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g1w0.wav,join,joy
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g260.wav,lure,lor
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g080.wav,background,an min the graod
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g2b0.wav,midnight,and thin ight
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g0d0.wav,biology,aly ceek
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ksb0g/ksb0g5w0.wav,when will we go on vacation,el weco tecation
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z370.wav,page,they
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z7c0.wav,stepfather,tey fatlerd
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z8b0.wav,updated,uh thad
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z860.wav,two,two
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z3s0.wav,scrapbook,or ah 
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z8l0.wav,white,white
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z6r0.wav,sheepdog,ke gown
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z8g0.wav,wagging,oh i geam
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb0z/ksb0z7r0.wav,thanks,thank
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0033h0.wav,push,cush
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0038g0.wav,wagging,
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks003320.wav,offshore,i so ry 
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0037r0.wav,thanks,thinks
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0033n0.wav,royal,brail e
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0038l0.wav,white,wit
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0033i0.wav,ragtime,ra ti
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks003710.wav,smoothly,spoosetly i
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0036r0.wav,sheepdog,she daght heep
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0034l0.wav,silver robot toys are the best,oh as he i rell olit at bast
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0033s0.wav,scrapbook,scrapt the can into well
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks0033c0.wav,picture,it churk
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks003860.wav,two,toah
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks003770.wav,springhill,tay hel
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ks003/ks003370.wav,page,hate
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0367v0.wav,throughout,tlout
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036850.wav,twenty,t one pin
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036490.wav,try to lick the lollipop,smide to loo the lowly pot sety
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036760.wav,spoons,o
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0368u0.wav,zucchini, be
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0363r0.wav,school,school 
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036410.wav,i don't clean windows,i  don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036500.wav,the flood took a car down the street,wo do get car down straight
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0364a0.wav,could you pass the other jam please,you passd the anen campis
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036450.wav,i'm good with things like that,n good god things like that
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036360.wav,overreaction,amari act
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0367b0.wav,steamship,teeme ship
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0365j0.wav,will you sing this song,way seing thir fon
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036430.wav,i think cats are cute,she
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036700.wav,smoke,wol
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0366q0.wav,shades,shemes
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0364c0.wav,charles will sell fifty almonds,tomes sol faithte al man
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0367l0.wav,surround,surround
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0368k0.wav,weatherproof,whather she
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036470.wav,the dog is a big gentle puppy,eno  be gentle pubpit
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0363h0.wav,push,but
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0368f0.wav,vowel,thou
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0367g0.wav,subdue,sumde
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036420.wav,the cows' hay was not dry yet,rigt
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036460.wav,help me unroll the new rug,ohtly an ol te lerun
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0363g0.wav,punishment,bet ment
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0363m0.wav,rock,wek
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0368p0.wav,wonderful,one defol
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036800.wav,town,o
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks0366v0.wav,shortchange,ford chege
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036750.wav,southmost,
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ks036/ks036480.wav,we've just started the egg toss,we en studied their egg thoughts
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t730.wav,soften,oting
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t6t0.wav,shock,shal
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8n0.wav,withdrawn,wish ston
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t3k0.wav,red,
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t5o0.wav,are zebras just striped horses,ir shewers used mi ris his
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t390.wav,pathfinder,py sandl
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ks00t/ks00t8d0.wav,vase,pas
