record_id_wav,record_id_text
1010113_en_21_19_100,1010113_en_21_19_100	
1010113_en_22_20_100,1010113_en_22_20_100	i
1010113_en_22_20_101,1010113_en_22_20_101	i
1010113_en_22_20_102,1010113_en_22_20_102	favourite
1010113_en_22_20_103,1010113_en_22_20_103	i
1010113_en_22_20_104,1010113_en_22_20_104	@e
1010116_en_22_20_100,1010116_en_22_20_100	-es
1010116_en_22_20_101,1010116_en_22_20_101	@em
1010116_en_22_20_102,1010116_en_22_20_102	-vourite
1010116_en_22_20_103,1010116_en_22_20_103	-tch
1010116_en_22_20_104,1010116_en_22_20_104	@e
1010118_en_22_20_100,1010118_en_22_20_100	
1010118_en_22_20_101,1010118_en_22_20_101	
1010118_en_22_20_102,1010118_en_22_20_102	
1010118_en_22_20_103,1010118_en_22_20_103	@e
1010118_en_22_20_104,1010118_en_22_20_104	
1010119_en_21_19_100,1010119_en_21_19_100	hi
1010119_en_22_20_100,1010119_en_22_20_100	no
1010119_en_22_20_101,1010119_en_22_20_101	@noise
1010119_en_22_20_102,1010119_en_22_20_102	@voice
1010119_en_22_20_103,1010119_en_22_20_103	every
1010119_en_22_20_104,1010119_en_22_20_104	@e
1020103_en_21_19_100,1020103_en_21_19_100	@bkg
1020103_en_22_20_100,1020103_en_22_20_100	yes
1020103_en_22_20_101,1020103_en_22_20_101	@bkg
1020103_en_22_20_102,1020103_en_22_20_102	@ns
1020103_en_22_20_103,1020103_en_22_20_103	@h
1020103_en_22_20_104,1020103_en_22_20_104	is
1020105_en_21_19_100,1020105_en_21_19_100	@bkg
1020105_en_22_20_100,1020105_en_22_20_100	yes
1020105_en_22_20_101,1020105_en_22_20_101	@ns
1020105_en_22_20_102,1020105_en_22_20_102	my
1020105_en_22_20_103,1020105_en_22_20_103	i
1020105_en_22_20_104,1020105_en_22_20_104	@e
1020106_en_21_19_100,1020106_en_21_19_100	@breath
1020106_en_22_20_100,1020106_en_22_20_100	@ns
1020106_en_22_20_101,1020106_en_22_20_101	@ns
1020106_en_22_20_102,1020106_en_22_20_102	@ns
1020106_en_22_20_103,1020106_en_22_20_103	to
1020106_en_22_20_104,1020106_en_22_20_104	it's
1020109_en_21_19_100,1020109_en_21_19_100	hi
1020109_en_22_20_100,1020109_en_22_20_100	yes
1020109_en_22_20_101,1020109_en_22_20_101	@bkg
1020109_en_22_20_102,1020109_en_22_20_102	@voice
1020109_en_22_20_103,1020109_en_22_20_103	@voice
1020109_en_22_20_104,1020109_en_22_20_104	@cough
1020111_en_21_19_100,1020111_en_21_19_100	hello
1020111_en_22_20_100,1020111_en_22_20_100	sport
1020111_en_22_20_101,1020111_en_22_20_101	-er
1020111_en_22_20_102,1020111_en_22_20_102	@e
1020111_en_22_20_103,1020111_en_22_20_103	i
1020111_en_22_20_104,1020111_en_22_20_104	@e
1020113_en_21_19_100,1020113_en_21_19_100	@voice
1020113_en_22_20_100,1020113_en_22_20_100	yes
1020113_en_22_20_101,1020113_en_22_20_101	@em
1020113_en_22_20_102,1020113_en_22_20_102	@voice
1020113_en_22_20_103,1020113_en_22_20_103	
1020114_en_21_19_100,1020114_en_21_19_100	@ns
1020114_en_22_20_100,1020114_en_22_20_100	@bkg
1020114_en_22_20_101,1020114_en_22_20_101	-door
1020114_en_22_20_102,1020114_en_22_20_102	my
1020114_en_22_20_103,1020114_en_22_20_103	
1020114_en_22_20_104,1020114_en_22_20_104	@breath
1020116_en_21_19_100,1020116_en_21_19_100	@bkg
1020116_en_22_20_100,1020116_en_22_20_100	-es
1020116_en_22_20_101,1020116_en_22_20_101	
1020116_en_22_20_102,1020116_en_22_20_102	favourite
1020116_en_22_20_103,1020116_en_22_20_103	@em
1020116_en_22_20_104,1020116_en_22_20_104	@bkg
1020117_en_21_19_100,1020117_en_21_19_100	hi
1020117_en_22_20_100,1020117_en_22_20_100	-s
1020117_en_22_20_101,1020117_en_22_20_101	i
1020117_en_22_20_102,1020117_en_22_20_102	-y
1020117_en_22_20_103,1020117_en_22_20_103	watch
1020117_en_22_20_104,1020117_en_22_20_104	
1030102_en_22_20_100,1030102_en_22_20_100	no
1030102_en_22_20_101,1030102_en_22_20_101	@ns
1030102_en_22_20_102,1030102_en_22_20_102	my
1030102_en_22_20_103,1030102_en_22_20_103	i
1030102_en_22_20_104,1030102_en_22_20_104	is
1030103_en_22_20_100,1030103_en_22_20_100	no
1030103_en_22_20_101,1030103_en_22_20_101	@ns
1030103_en_22_20_102,1030103_en_22_20_102	@ns
1030103_en_22_20_103,1030103_en_22_20_103	i
1030103_en_22_20_104,1030103_en_22_20_104	@cough
1030105_en_21_19_100,1030105_en_21_19_100	@ns
1030110_en_21_19_100,1030110_en_21_19_100	@voice
1030110_en_22_20_100,1030110_en_22_20_100	@breath
1030110_en_22_20_101,1030110_en_22_20_101	@ns
1030110_en_22_20_102,1030110_en_22_20_102	@ns
1030110_en_22_20_103,1030110_en_22_20_103	
1030110_en_22_20_104,1030110_en_22_20_104	
1030112_en_22_20_100,1030112_en_22_20_100	
1030112_en_22_20_101,1030112_en_22_20_101	@cough
1030112_en_22_20_102,1030112_en_22_20_102	my
1030112_en_22_20_103,1030112_en_22_20_103	i
1030112_en_22_20_104,1030112_en_22_20_104	@breath
1040103_en_21_19_100,1040103_en_21_19_100	@voice
1040103_en_22_20_100,1040103_en_22_20_100	
1040103_en_22_20_101,1040103_en_22_20_101	@ns
1040103_en_22_20_102,1040103_en_22_20_102	my
1040103_en_22_20_103,1040103_en_22_20_103	i
1040103_en_22_20_104,1040103_en_22_20_104	@breath
1040104_en_21_19_100,1040104_en_21_19_100	hi
1040104_en_22_20_100,1040104_en_22_20_100	yes
1040104_en_22_20_101,1040104_en_22_20_101	
1040104_en_22_20_102,1040104_en_22_20_102	my
1040104_en_22_20_103,1040104_en_22_20_103	@ehm
1040104_en_22_20_104,1040104_en_22_20_104	@e
1040106_en_21_19_100,1040106_en_21_19_100	@bkg
1040106_en_22_20_100,1040106_en_22_20_100	-s
1040106_en_22_20_101,1040106_en_22_20_101	
1040106_en_22_20_102,1040106_en_22_20_102	@voice
1040106_en_22_20_103,1040106_en_22_20_103	i
1040106_en_22_20_104,1040106_en_22_20_104	@voice
1040107_en_22_20_100,1040107_en_22_20_100	yes
1040107_en_22_20_101,1040107_en_22_20_101	@voice
1040107_en_22_20_102,1040107_en_22_20_102	for-
1040107_en_22_20_103,1040107_en_22_20_103	@breath
1040110_en_21_19_100,1040110_en_21_19_100	hi
1040110_en_22_20_100,1040110_en_22_20_100	my
1040110_en_22_20_101,1040110_en_22_20_101	i
1040110_en_22_20_102,1040110_en_22_20_102	@em
1040110_en_22_20_103,1040110_en_22_20_103	@voice
1040110_en_22_20_104,1040110_en_22_20_104	@em
1040113_en_21_19_100,1040113_en_21_19_100	hello
1040113_en_22_20_100,1040113_en_22_20_100	@breath
1040113_en_22_20_101,1040113_en_22_20_101	why
1040113_en_22_20_102,1040113_en_22_20_102	my
1040113_en_22_20_103,1040113_en_22_20_103	@em
1040113_en_22_20_104,1040113_en_22_20_104	@e
1040115_en_21_19_100,1040115_en_21_19_100	hi
1040115_en_22_20_100,1040115_en_22_20_100	hi
1040115_en_22_20_101,1040115_en_22_20_101	@ehm
1040115_en_22_20_102,1040115_en_22_20_102	@bkg
1040115_en_22_20_103,1040115_en_22_20_103	i
1040115_en_22_20_104,1040115_en_22_20_104	@ns
1040116_en_21_19_100,1040116_en_21_19_100	hi
1040116_en_22_20_100,1040116_en_22_20_100	@e
1040116_en_22_20_101,1040116_en_22_20_101	@bkg
1040116_en_22_20_102,1040116_en_22_20_102	my
1040116_en_22_20_103,1040116_en_22_20_103	@breath
1040116_en_22_20_104,1040116_en_22_20_104	@e
1040118_en_21_19_100,1040118_en_21_19_100	hi
1040118_en_22_20_100,1040118_en_22_20_100	yes
1040118_en_22_20_101,1040118_en_22_20_101	i
1040118_en_22_20_102,1040118_en_22_20_102	my
1040118_en_22_20_103,1040118_en_22_20_103	i
1040118_en_22_20_104,1040118_en_22_20_104	@breath
1040119_en_21_19_100,1040119_en_21_19_100	hi
1040119_en_22_20_100,1040119_en_22_20_100	yes
1040119_en_22_20_101,1040119_en_22_20_101	@ehm
1040119_en_22_20_102,1040119_en_22_20_102	-ite
1040119_en_22_20_103,1040119_en_22_20_103	@sil
1040119_en_22_20_104,1040119_en_22_20_104	@voice
1040121_en_21_19_100,1040121_en_21_19_100	
1040121_en_22_20_100,1040121_en_22_20_100	@em
1040121_en_22_20_101,1040121_en_22_20_101	@ehm
1040121_en_22_20_102,1040121_en_22_20_102	@m
1040121_en_22_20_103,1040121_en_22_20_103	i
1040122_en_21_19_100,1040122_en_21_19_100	hi
1040122_en_22_20_100,1040122_en_22_20_100	@voice
1040122_en_22_20_101,1040122_en_22_20_101	i
1040122_en_22_20_102,1040122_en_22_20_102	my
1040122_en_22_20_103,1040122_en_22_20_103	@ns
1050102_en_21_19_100,1050102_en_21_19_100	hello
1050102_en_22_20_100,1050102_en_22_20_100	yes
1050102_en_22_20_101,1050102_en_22_20_101	
1050102_en_22_20_102,1050102_en_22_20_102	my
1050102_en_22_20_103,1050102_en_22_20_103	i
1050103_en_21_19_100,1050103_en_21_19_100	hi
1050103_en_22_20_100,1050103_en_22_20_100	yes
1050103_en_22_20_101,1050103_en_22_20_101	i
1050103_en_22_20_102,1050103_en_22_20_102	my
1050103_en_22_20_103,1050103_en_22_20_103	@e
1050105_en_21_19_100,1050105_en_21_19_100	@ns
1050105_en_22_20_100,1050105_en_22_20_100	@voice
1050105_en_22_20_101,1050105_en_22_20_101	i
1050105_en_22_20_102,1050105_en_22_20_102	@cough
1050105_en_22_20_103,1050105_en_22_20_103	@e
1050106_en_21_19_100,1050106_en_21_19_100	hello
1050106_en_22_20_100,1050106_en_22_20_100	@e
1050106_en_22_20_101,1050106_en_22_20_101	@eh
1050106_en_22_20_102,1050106_en_22_20_102	and
1050106_en_22_20_103,1050106_en_22_20_103	@ns
1050108_en_22_20_100,1050108_en_22_20_100	ye-
1050108_en_22_20_101,1050108_en_22_20_101	@e
1050108_en_22_20_102,1050108_en_22_20_102	my
1050108_en_22_20_103,1050108_en_22_20_103	@e
1050109_en_22_20_100,1050109_en_22_20_100	@e
1050109_en_22_20_101,1050109_en_22_20_101	@voice
1050109_en_22_20_102,1050109_en_22_20_102	@ns
1050109_en_22_20_103,1050109_en_22_20_103	i
1050111_en_21_19_100,1050111_en_21_19_100	
1050111_en_22_20_100,1050111_en_22_20_100	i
1050111_en_22_20_101,1050111_en_22_20_101	i
1050111_en_22_20_102,1050111_en_22_20_102	@ns
1050111_en_22_20_103,1050111_en_22_20_103	
1050112_en_22_20_100,1050112_en_22_20_100	@ns
1050112_en_22_20_101,1050112_en_22_20_101	@e
1050112_en_22_20_102,1050112_en_22_20_102	@voice
1050112_en_22_20_103,1050112_en_22_20_103	i
1050114_en_21_19_100,1050114_en_21_19_100	
1050114_en_22_20_101,1050114_en_22_20_101	@voice
1050114_en_22_20_102,1050114_en_22_20_102	@voice
1050114_en_22_20_103,1050114_en_22_20_103	i
1050115_en_22_20_101,1050115_en_22_20_101	@voice
1050115_en_22_20_102,1050115_en_22_20_102	@m
1050115_en_22_20_103,1050115_en_22_20_103	@em
1050117_en_21_19_100,1050117_en_21_19_100	@e
1050117_en_22_20_101,1050117_en_22_20_101	@laugh
1050117_en_22_20_102,1050117_en_22_20_102	my
1050117_en_22_20_103,1050117_en_22_20_103	i
1050118_en_21_19_100,1050118_en_21_19_100	hallo
1050118_en_22_20_101,1050118_en_22_20_101	@sil
1050118_en_22_20_102,1050118_en_22_20_102	@voice
1050118_en_22_20_103,1050118_en_22_20_103	i
1050120_en_21_19_100,1050120_en_21_19_100	hi
1050120_en_22_20_101,1050120_en_22_20_101	i
1050120_en_22_20_102,1050120_en_22_20_102	sport
1050120_en_22_20_103,1050120_en_22_20_103	i
1050120_en_22_20_104,1050120_en_22_20_104	i
1050121_en_21_19_100,1050121_en_21_19_100	hi
1050121_en_22_20_101,1050121_en_22_20_101	@e
1050121_en_22_20_102,1050121_en_22_20_102	my
1050121_en_22_20_103,1050121_en_22_20_103	i
1050121_en_22_20_104,1050121_en_22_20_104	@breath
1060102_en_22_20_101,1060102_en_22_20_101	@e
1060102_en_22_20_102,1060102_en_22_20_102	my
1060102_en_22_20_103,1060102_en_22_20_103	i
1060102_en_22_20_104,1060102_en_22_20_104	@eh
1060103_en_21_19_100,1060103_en_21_19_100	hi
1060103_en_22_20_101,1060103_en_22_20_101	i
1060103_en_22_20_102,1060103_en_22_20_102	my
1060103_en_22_20_103,1060103_en_22_20_103	i
1060103_en_22_20_104,1060103_en_22_20_104	@em
1060105_en_21_19_100,1060105_en_21_19_100	hello
1060105_en_22_20_101,1060105_en_22_20_101	i
1060105_en_22_20_102,1060105_en_22_20_102	my
1060105_en_22_20_103,1060105_en_22_20_103	
1060105_en_22_20_104,1060105_en_22_20_104	because
1060106_en_21_19_100,1060106_en_21_19_100	@voice
1060106_en_22_20_101,1060106_en_22_20_101	i
1060106_en_22_20_102,1060106_en_22_20_102	
1060106_en_22_20_103,1060106_en_22_20_103	watch
1060106_en_22_20_104,1060106_en_22_20_104	is
1060108_en_22_20_101,1060108_en_22_20_101	i
1060108_en_22_20_102,1060108_en_22_20_102	sport
1060108_en_22_20_103,1060108_en_22_20_103	i
1060108_en_22_20_104,1060108_en_22_20_104	@breath
1060109_en_21_19_100,1060109_en_21_19_100	hello
1060109_en_22_20_101,1060109_en_22_20_101	i
1060109_en_22_20_102,1060109_en_22_20_102	-rt
1060109_en_22_20_103,1060109_en_22_20_103	i
1060109_en_22_20_104,1060109_en_22_20_104	@breath
1060111_en_21_19_100,1060111_en_21_19_100	hello
1060111_en_22_20_101,1060111_en_22_20_101	@e
1060111_en_22_20_102,1060111_en_22_20_102	@voice
1060111_en_22_20_103,1060111_en_22_20_103	@bgk
1060111_en_22_20_104,1060111_en_22_20_104	because
1060112_en_21_19_100,1060112_en_21_19_100	hello
1060112_en_22_20_101,1060112_en_22_20_101	i
1060112_en_22_20_102,1060112_en_22_20_102	@voice
1060112_en_22_20_103,1060112_en_22_20_103	@e
1060112_en_22_20_104,1060112_en_22_20_104	@voice
1060114_en_21_19_100,1060114_en_21_19_100	@bkg
1060114_en_22_20_100,1060114_en_22_20_100	i
1060114_en_22_20_101,1060114_en_22_20_101	i
1060114_en_22_20_102,1060114_en_22_20_102	my
1060114_en_22_20_103,1060114_en_22_20_103	@i
1060114_en_22_20_104,1060114_en_22_20_104	@breath
1060115_en_21_19_100,1060115_en_21_19_100	hi
1060115_en_22_20_100,1060115_en_22_20_100	@bkg
1060115_en_22_20_102,1060115_en_22_20_102	my
1060115_en_22_20_103,1060115_en_22_20_103	i
1060115_en_22_20_104,1060115_en_22_20_104	@em
1060117_en_22_20_100,1060117_en_22_20_100	i
1060117_en_22_20_102,1060117_en_22_20_102	-ite
1060117_en_22_20_104,1060117_en_22_20_104	because
1060118_en_22_20_100,1060118_en_22_20_100	@bkg
1060118_en_22_20_102,1060118_en_22_20_102	my
1060118_en_22_20_104,1060118_en_22_20_104	@voice
1060120_en_22_20_100,1060120_en_22_20_100	@voice
1060120_en_22_20_102,1060120_en_22_20_102	@e
1060120_en_22_20_104,1060120_en_22_20_104	@breath
1060121_en_21_19_100,1060121_en_21_19_100	good
1060121_en_22_20_100,1060121_en_22_20_100	i
1060121_en_22_20_102,1060121_en_22_20_102	my
1060121_en_22_20_104,1060121_en_22_20_104	@breath
2010101_en_5_7_100,2010101_en_5_7_100	i
2010101_en_5_7_101,2010101_en_5_7_101	@breath
2010101_en_5_7_102,2010101_en_5_7_102	my
2010101_en_5_7_103,2010101_en_5_7_103	my
2010101_en_5_7_104,2010101_en_5_7_104	@breath
2010102_en_5_7_100,2010102_en_5_7_100	i'm
2010102_en_5_7_101,2010102_en_5_7_101	i
2010102_en_5_7_102,2010102_en_5_7_102	my
2010102_en_5_7_103,2010102_en_5_7_103	@voice
2010102_en_5_7_104,2010102_en_5_7_104	@e
2010104_en_6_8_100,2010104_en_6_8_100	i'm
2010104_en_6_8_101,2010104_en_6_8_101	yes
2010104_en_6_8_102,2010104_en_6_8_102	a
2010104_en_6_8_103,2010104_en_6_8_103	no
2010104_en_6_8_104,2010104_en_6_8_104	no
2010104_en_6_8_105,2010104_en_6_8_105	bye
2010106_en_6_8_100,2010106_en_6_8_100	
2010106_en_6_8_101,2010106_en_6_8_101	yes
2010106_en_6_8_102,2010106_en_6_8_102	@breath
2010106_en_6_8_103,2010106_en_6_8_103	my
2010109_en_5_7_100,2010109_en_5_7_100	i'm
2010109_en_5_7_101,2010109_en_5_7_101	i
2010109_en_5_7_102,2010109_en_5_7_102	
2010109_en_5_7_103,2010109_en_5_7_103	@ns
2010109_en_5_7_104,2010109_en_5_7_104	
2010109_en_6_8_100,2010109_en_6_8_100	@m
2010109_en_6_8_101,2010109_en_6_8_101	yes
2010109_en_6_8_102,2010109_en_6_8_102	-lami
2010109_en_6_8_103,2010109_en_6_8_103	no
2010109_en_6_8_104,2010109_en_6_8_104	yes
2010109_en_6_8_105,2010109_en_6_8_105	bye
2010111_en_6_8_100,2010111_en_6_8_100	i'm
2010111_en_6_8_101,2010111_en_6_8_101	-f
2010111_en_6_8_102,2010111_en_6_8_102	
2010111_en_6_8_103,2010111_en_6_8_103	yes
2010111_en_6_8_104,2010111_en_6_8_104	yes
2010111_en_6_8_105,2010111_en_6_8_105	bye
2010114_en_5_7_100,2010114_en_5_7_100	i'm
2010114_en_5_7_101,2010114_en_5_7_101	
2010114_en_5_7_102,2010114_en_5_7_102	@breath
2010114_en_5_7_103,2010114_en_5_7_103	my
2010114_en_5_7_104,2010114_en_5_7_104	@m
2010117_en_5_7_100,2010117_en_5_7_100	
2010117_en_5_7_101,2010117_en_5_7_101	in
2010117_en_5_7_102,2010117_en_5_7_102	-bbies
2010117_en_5_7_103,2010117_en_5_7_103	@ah
2010117_en_5_7_104,2010117_en_5_7_104	@bkg
2010117_en_6_8_100,2010117_en_6_8_100	hello
2010117_en_6_8_101,2010117_en_6_8_101	yes
2010117_en_6_8_102,2010117_en_6_8_102	@ns
2010117_en_6_8_103,2010117_en_6_8_103	yes
2010117_en_6_8_104,2010117_en_6_8_104	yes
2010117_en_6_8_105,2010117_en_6_8_105	bye
2010118_en_5_7_100,2010118_en_5_7_100	i'm
2010118_en_5_7_101,2010118_en_5_7_101	
2010118_en_6_8_100,2010118_en_6_8_100	i'm
2010118_en_6_8_101,2010118_en_6_8_101	@em
2010118_en_6_8_102,2010118_en_6_8_102	-zza
2010118_en_6_8_103,2010118_en_6_8_103	@e
2010118_en_6_8_104,2010118_en_6_8_104	
2010118_en_6_8_105,2010118_en_6_8_105	bye
2010120_en_5_7_100,2010120_en_5_7_100	@breath
2010120_en_5_7_101,2010120_en_5_7_101	
2010120_en_5_7_102,2010120_en_5_7_102	hobbies
2010120_en_5_7_103,2010120_en_5_7_103	my
2010120_en_5_7_104,2010120_en_5_7_104	@breath
2010121_en_5_7_100,2010121_en_5_7_100	i'm
2010121_en_5_7_101,2010121_en_5_7_101	i
2010121_en_5_7_102,2010121_en_5_7_102	@breath
2010121_en_5_7_103,2010121_en_5_7_103	@em
2010121_en_5_7_104,2010121_en_5_7_104	@bkg
2010121_en_6_8_100,2010121_en_6_8_100	
2010121_en_6_8_101,2010121_en_6_8_101	-es
2010121_en_6_8_102,2010121_en_6_8_102	tomatoes
2010121_en_6_8_103,2010121_en_6_8_103	cola
2010121_en_6_8_104,2010121_en_6_8_104	@m
2010121_en_6_8_105,2010121_en_6_8_105	-e
2010123_en_5_7_100,2010123_en_5_7_100	fine
2010123_en_5_7_101,2010123_en_5_7_101	@sil
2010123_en_5_7_102,2010123_en_5_7_102	mine
2010123_en_5_7_103,2010123_en_5_7_103	
2010123_en_5_7_104,2010123_en_5_7_104	@e
2010201_en_5_7_100,2010201_en_5_7_100	
2010201_en_5_7_101,2010201_en_5_7_101	@sil
2010201_en_5_7_102,2010201_en_5_7_102	-bies
2010201_en_5_7_103,2010201_en_5_7_103	
2010201_en_5_7_104,2010201_en_5_7_104	
2010201_en_6_8_100,2010201_en_6_8_100	
2010201_en_6_8_101,2010201_en_6_8_101	no
2010201_en_6_8_102,2010201_en_6_8_102	@m
2010201_en_6_8_103,2010201_en_6_8_103	
2010201_en_6_8_104,2010201_en_6_8_104	@m
2010202_en_5_7_100,2010202_en_5_7_100	i'm
2010202_en_5_7_101,2010202_en_5_7_101	@ns
2010202_en_5_7_102,2010202_en_5_7_102	my
2010202_en_5_7_103,2010202_en_5_7_103	my
2010202_en_5_7_104,2010202_en_5_7_104	@ns
2010202_en_6_8_100,2010202_en_6_8_100	i'm
2010202_en_6_8_101,2010202_en_6_8_101	yes
2010202_en_6_8_102,2010202_en_6_8_102	@e
2010202_en_6_8_103,2010202_en_6_8_103	@m
2010202_en_6_8_104,2010202_en_6_8_104	yes
2010204_en_6_8_100,2010204_en_6_8_100	@bkg
2010204_en_6_8_101,2010204_en_6_8_101	-on't
2010204_en_6_8_102,2010204_en_6_8_102	pizza
2010204_en_6_8_103,2010204_en_6_8_103	my
2010204_en_6_8_104,2010204_en_6_8_104	@ns
2010204_en_6_8_105,2010204_en_6_8_105	thank
2010205_en_5_7_100,2010205_en_5_7_100	i
2010205_en_5_7_101,2010205_en_5_7_101	i
2010205_en_5_7_102,2010205_en_5_7_102	@bkg
2010205_en_5_7_103,2010205_en_5_7_103	
2010205_en_5_7_104,2010205_en_5_7_104	i
2010205_en_6_8_100,2010205_en_6_8_100	@oh
2010205_en_6_8_101,2010205_en_6_8_101	i
2010205_en_6_8_102,2010205_en_6_8_102	@e
2010205_en_6_8_103,2010205_en_6_8_103	@e
2010205_en_6_8_104,2010205_en_6_8_104	i
2010205_en_6_8_105,2010205_en_6_8_105	-ye
2010207_en_6_8_100,2010207_en_6_8_100	@breath
2010207_en_6_8_101,2010207_en_6_8_101	-s
2010208_en_5_7_100,2010208_en_5_7_100	-m
2010208_en_5_7_101,2010208_en_5_7_101	@ns
2010208_en_6_8_100,2010208_en_6_8_100	i'm
2010208_en_6_8_101,2010208_en_6_8_101	cola
2010208_en_6_8_102,2010208_en_6_8_102	pizza
2010208_en_6_8_103,2010208_en_6_8_103	fanta
2010208_en_6_8_104,2010208_en_6_8_104	-o
2010208_en_6_8_105,2010208_en_6_8_105	-a
2010211_en_5_7_100,2010211_en_5_7_100	i'm
2010211_en_5_7_101,2010211_en_5_7_101	i
2010211_en_5_7_102,2010211_en_5_7_102	-bies
2010211_en_5_7_103,2010211_en_5_7_103	
2010211_en_5_7_104,2010211_en_5_7_104	is
2010211_en_6_8_100,2010211_en_6_8_100	i'm
2010211_en_6_8_101,2010211_en_6_8_101	@ns
2010211_en_6_8_102,2010211_en_6_8_102	
2010211_en_6_8_103,2010211_en_6_8_103	@m
2010211_en_6_8_104,2010211_en_6_8_104	yes
2010211_en_6_8_105,2010211_en_6_8_105	bye
2010212_en_5_7_100,2010212_en_5_7_100	
2010212_en_5_7_101,2010212_en_5_7_101	@em
2010212_en_5_7_102,2010212_en_5_7_102	my
2010212_en_5_7_103,2010212_en_5_7_103	@breath
2010212_en_5_7_104,2010212_en_5_7_104	@em
2010214_en_5_7_100,2010214_en_5_7_100	i'm
2010214_en_5_7_101,2010214_en_5_7_101	@ns
2010214_en_5_7_102,2010214_en_5_7_102	hobbies
2010214_en_5_7_103,2010214_en_5_7_103	
2010214_en_5_7_104,2010214_en_5_7_104	@em
2010214_en_6_8_100,2010214_en_6_8_100	i'm
2010214_en_6_8_101,2010214_en_6_8_101	yes
2010214_en_6_8_102,2010214_en_6_8_102	cheese
2010214_en_6_8_103,2010214_en_6_8_103	it's
2010214_en_6_8_104,2010214_en_6_8_104	@breath
2010214_en_6_8_105,2010214_en_6_8_105	goodbye
2010215_en_6_8_100,2010215_en_6_8_100	@eh
2010215_en_6_8_101,2010215_en_6_8_101	@ns
2010215_en_6_8_102,2010215_en_6_8_102	-mato
2010215_en_6_8_103,2010215_en_6_8_103	@e
2010215_en_6_8_104,2010215_en_6_8_104	@bkg
2010215_en_6_8_105,2010215_en_6_8_105	bye
2010219_en_5_7_100,2010219_en_5_7_100	i'm
2010219_en_5_7_101,2010219_en_5_7_101	@e
2010219_en_5_7_102,2010219_en_5_7_102	-bies
2010219_en_5_7_103,2010219_en_5_7_103	my
2010219_en_6_8_100,2010219_en_6_8_100	-lia
2010219_en_6_8_101,2010219_en_6_8_101	yes
2010221_en_5_7_100,2010221_en_5_7_100	@breath
2010221_en_5_7_101,2010221_en_5_7_101	i
2010221_en_5_7_102,2010221_en_5_7_102	@ns
2010221_en_5_7_103,2010221_en_5_7_103	
2010221_en_5_7_104,2010221_en_5_7_104	my
2010221_en_6_8_100,2010221_en_6_8_100	i
2010221_en_6_8_101,2010221_en_6_8_101	yes
2010221_en_6_8_103,2010221_en_6_8_103	coca
2010221_en_6_8_104,2010221_en_6_8_104	i
2010221_en_6_8_105,2010221_en_6_8_105	bye
2010222_en_5_7_100,2010222_en_5_7_100	@ns
2010222_en_5_7_101,2010222_en_5_7_101	@ns
2010222_en_5_7_102,2010222_en_5_7_102	my
2010222_en_5_7_103,2010222_en_5_7_103	@ns
2010222_en_5_7_104,2010222_en_5_7_104	my
2010224_en_5_7_100,2010224_en_5_7_100	i
2010224_en_5_7_101,2010224_en_5_7_101	@em
2010224_en_5_7_102,2010224_en_5_7_102	@em
2010224_en_5_7_103,2010224_en_5_7_103	@m
2010224_en_5_7_104,2010224_en_5_7_104	@e
2010303_en_5_7_100,2010303_en_5_7_100	@em
2010303_en_5_7_101,2010303_en_5_7_101	@ns
2010303_en_5_7_102,2010303_en_5_7_102	-y
2010303_en_5_7_103,2010303_en_5_7_103	@m
